release,name,version,language,gender,company,voice,illust,image_url,dlsite_url
2023/06/17,Lin Lai,1,中国語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003173_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003173.html
2023/06/17,Yun Quan,1,中国語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003174_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003174.html
2023/04/27,重音テト,1,日本語,女声,株式会社 AHS,小山乃舞世,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000376_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000376.html
2023/04/20,JUN,1,英語,男声,AUDIOLOGIE,Lavy,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ01003000/VJ01002454_img_main.webp,https://www.dlsite.com/soft/work/=/product_id/VJ01002454.html
2023/02/16,Ninezero,1,英語,男声,Dreamtonics株式会社,Ninezero,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000443_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000443.html
2023/01/30,夏语遥,1,中国語,女声,E-CAPSULE,迷漾,あり,,
2023/01/09,Cheng Xiao,1,中国語,女声,Dreamtonics株式会社,非公開,なし,,
2022/12/12,Cong Zheng,1,中国語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003171_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003171.html
2022/12/12,Xuan Yu,1,中国語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003172_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003172.html
2022/12/02,ASTERIAN,1,英語,男声,Eclipsed Sounds,Eric Hollaway,あり,,
2022/11/10,Mai,1,日本語,女声,Dreamtonics株式会社,橘田ほのか,なし,,
2022/10/20,花隈千冬,1,日本語,女声,株式会社 AHS,奥野香耶,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ016000/VJ015663_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ015663.html
2022/10/09,Yuma,1,日本語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000441_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000441.html
2022/10/09,Natalie,1,英語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000442_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000442.html
2022/07/21,Weina,1,"英語,中国語",女声,Dreamtonics株式会社,胡维纳,なし,,
2022/05/27,Feng Yi,1,中国語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000439_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000439.html
2022/05/04,An Xiao,1,中国語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000440_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000440.html
2022/04/13,夏色花梨,1,日本語,女声,株式会社 AHS,高木美佑,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ016000/VJ015246_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ015246.html
2022/04/09,Mo Chen,1,中国語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000437_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000437.html
2022/02/20,星尘 Infinity,1,中国語,女声,Quadimension,茶理理,あり,,
2022/02/04,Ryo,1,日本語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ016000/VJ015170_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ015170.html
2022/02/04,Kevin,1,英語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ016000/VJ015171_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ015171.html
2022/01/27,京町セイカ,1,日本語,女声,株式会社 AHS,立花理香,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ016000/VJ015078_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ015078.html
2022/01/19,SOLARIA,1,英語,女声,Eclipsed Sounds,Emma Rowley,あり,,
2021/12/11,ANRI(杏里),1,英語,女声,AUDIOLOGIE,kurapichu,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ01003000/VJ01002453_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01002453.html
2021/12/01,Qing Su,1,中国語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01001000/VJ01000438_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01000438.html
2021/11/26,ついなちゃん,1,日本語,女声,株式会社 AHS,門脇舞以,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ015000/VJ014902_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ014902.html
2021/10/13,闇音レンリ,1,日本語,女声,Animen,ゆずり,あり,,
2021/06/18,弦巻マキ,1,"日本語,英語",女声,株式会社 AHS,田中真奈美,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ015000/VJ014523_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ014523.html
2021/03/18,小春六花,1,日本語,女声,株式会社 AHS,青山吉能,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ015000/VJ014356_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ014356.html
2020/09/13,星尘Minus,1,中国語,女声,Quadimension,Sawako,あり,,
2020/08/15,牧心,1,中国語,男声,Quadimension,佑可猫,あり,,
2020/07/30,Saki,1,日本語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ015000/VJ014529_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ014529.html
2020/07/30,琴葉 茜・葵,1,日本語,女声,株式会社 AHS,榊原ゆい,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ014000/VJ013609_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ013609.html
2020/07/15,ゲンブ,1,日本語,男声,Animen,ガロ,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ015000/VJ014132_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ014132.html
,,,,,,,,,
